 PNAME , OPRNAME , UTLSRVNM ,BANAME, LAT , LON , PLPRMFL , PLFUELCT , CAPFAC , NAMEPCAP 
Waimea,Hawaii Electric Light Co Inc,Hawaii Electric Light Co Inc,Hawaii Miscellaneous,19.6306,-155.9817,DFO,OIL,0.033,10.5
Wainiha Hydro,Kauai Island Utility Cooperative,McBryde Sugar Co Ltd,Hawaii Miscellaneous,22.196292,-159.556142,WAT,HYDRO,0.801,3.6
Adair Wind Farm,MidAmerican Energy Co,MidAmerican Energy Co,"Midcontinent Independent Transmission System Operator, Inc..",41.4236,-94.665,WND,WIND,0.32,174.8
Adams Wind,MidAmerican Energy Co,MidAmerican Energy Co,"Midcontinent Independent Transmission System Operator, Inc..",40.92,-94.671667,WND,WIND,,154.3
AG Processing Inc,MidAmerican Energy Co,Ag Processing Inc,"Midcontinent Independent Transmission System Operator, Inc..",42.665941,-93.902606,SUB,COAL,0.005,8.5
Agency GT,ITC Midwest LLC,Interstate Power and Light Co,"Midcontinent Independent Transmission System Operator, Inc..",40.816736,-91.146667,NG,GAS,,78.8
AgriReNew,Interstate Power and Light Co,AgriReNew,"Midcontinent Independent Transmission System Operator, Inc..",41.691944,-90.866389,OBG,BIOMASS,0.444,1
Algona,City of Algona - (IA),City of Algona - (IA),"Midcontinent Independent Transmission System Operator, Inc..",43.0733,-94.2392,DFO,OIL,0.001,19.3
Allendorf,Alliant Energy,E&E Enterprises LLC,"Midcontinent Independent Transmission System Operator, Inc..",43.4,-95.6333,WND,WIND,0.182,1.2
Alliant 1 Wind,,Infigen Asset Management LLC,,42.739167,-93.200833,WND,WIND,,110
Alliant SBD 8501 Aegon LI,Alliant Energy,Industrial Energy Applications Inc,"Midcontinent Independent Transmission System Operator, Inc..",42.0308,-91.7069,DFO,OIL, -   ,3.1
Alliant SBD 8601 Quad Graphics,Alliant Energy,Industrial Energy Applications Inc,"Midcontinent Independent Transmission System Operator, Inc..",41.7958,-92.0592,DFO,OIL,,3.6
Alliant SBD 8602 Marion Sub,Alliant Energy,Industrial Energy Applications Inc,"Midcontinent Independent Transmission System Operator, Inc..",42.0289,-91.5975,DFO,OIL, -   ,5.6
Alliant SBD 8603 Donnelley,Alliant Energy,Industrial Energy Applications Inc,"Midcontinent Independent Transmission System Operator, Inc..",42.025,-93.441666,DFO,OIL,,1
Alliant SBD 9106 Rockwell CR,Alliant Energy,Industrial Energy Applications Inc,"Midcontinent Independent Transmission System Operator, Inc..",42.0356,-91.6458,DFO,OIL,0.001,16
Alliant SBD 9107 JBS USA,Alliant Energy,Industrial Energy Applications Inc,"Midcontinent Independent Transmission System Operator, Inc..",42.056,-92.8971,DFO,OIL,0.001,11.4
Alliant SBD 9201 Norplex,Alliant Energy,Industrial Energy Applications Inc,"Midcontinent Independent Transmission System Operator, Inc..",43.0906,-91.5542,DFO,OIL,0.002,2.1
Alliant SBD 9203 Profol,Alliant Energy,American Profol Incorporated,"Midcontinent Independent Transmission System Operator, Inc..",41.935,-91.6361,DFO,OIL,0.006,5.6
Alliant SBD 9205 A Y McDonald,Alliant Energy,Industrial Energy Applications Inc,"Midcontinent Independent Transmission System Operator, Inc..",42.490556,-90.745,DFO,OIL, -   ,3.1
Alliant SBD 9206 Donaldson,Alliant Energy,Industrial Energy Applications Inc,"Midcontinent Independent Transmission System Operator, Inc..",43.3744,-92.1331,DFO,OIL,0.001,1.6
Alliant SBD 9301 Prairie Farms,Alliant Energy,Industrial Energy Applications Inc,"Midcontinent Independent Transmission System Operator, Inc..",42.53,-90.6847,DFO,OIL, -   ,2.9
Alliant SBD 9302 Aegon NP,Alliant Energy,Industrial Energy Applications Inc,"Midcontinent Independent Transmission System Operator, Inc..",42.0264,-91.7042,DFO,OIL, -   ,1.2
Alliant SBD 9402 Climax,Alliant Energy,Industrial Energy Applications Inc,"Midcontinent Independent Transmission System Operator, Inc..",40.58415,-91.42453,DFO,OIL,,8
Alliant SBD 9403 Aegon DC,Alliant Energy,Industrial Energy Applications Inc,"Midcontinent Independent Transmission System Operator, Inc..",41.9167,-91.6542,DFO,OIL, -   ,5.7
Alliant SBD 9502 Eaton,Alliant Energy,Industrial Energy Applications Inc,"Midcontinent Independent Transmission System Operator, Inc..",42.83815,-93.60325,DFO,OIL,0.005,5.4
Alliant SBD 9702 Cedar Graphics,Alliant Energy,Industrial Energy Applications Inc,"Midcontinent Independent Transmission System Operator, Inc..",42.041667,-91.675,DFO,OIL,,1
Alliant SBD 9801 Aegon Martha's Way,Alliant Energy,Industrial Energy Applications Inc,"Midcontinent Independent Transmission System Operator, Inc..",42.0453,-91.6969,DFO,OIL,,1.1
Alliant SBD 9901 GE Capital,Alliant Energy,Industrial Energy Applications Inc,"Midcontinent Independent Transmission System Operator, Inc..",41.9244,-91.63852,DFO,OIL, -   ,1.1
Alliant SBD0201 Penford Produc,Alliant Energy,Industrial Energy Applications Inc,"Midcontinent Independent Transmission System Operator, Inc..",41.97007,-91.66623,DFO,OIL,0.002,6.1
Alliant SBG 9802 Toyota,Linn County REC,Industrial Energy Applications Inc,"Midcontinent Independent Transmission System Operator, Inc..",42.02771,-91.7111,NG,GAS,0.001,1
Alta Municipal Utilities,City of Alta - (IA),City of Alta - (IA),"Midcontinent Independent Transmission System Operator, Inc..",42.6733,-95.3039,DFO,OIL,,2.1
Ames,City of Ames - (IA),City of Ames - (IA),"Midcontinent Independent Transmission System Operator, Inc..",42.0258,-93.6089,SUB,COAL,0.297,108.8
Ames Diesel Generating Station,Interstate Power and Light Co,Interstate Power and Light Co,"Midcontinent Independent Transmission System Operator, Inc..",42.013319,-93.575416,DFO,OIL,,2
Anderson Erickson,MidAmerican Energy Co,MidAmerican Energy Co,"Midcontinent Independent Transmission System Operator, Inc..",41.6014,-93.5765,DFO,OIL, -   ,2
Anita,City of Anita - (IA),City of Anita - (IA),"Midcontinent Independent Transmission System Operator, Inc..",41.4444,-94.7689,DFO,OIL,0.001,3
Archer Daniels Midland Cedar Rapids,Interstate Power and Light Co,Archer Daniels Midland Co,"Midcontinent Independent Transmission System Operator, Inc..",41.9221,-91.6875,SUB,COAL,0.365,294.6
Archer Daniels Midland Clinton,Interstate Power and Light Co,Archer Daniels Midland Co,"Midcontinent Independent Transmission System Operator, Inc..",41.8206,-90.2097,SUB,COAL,0.453,211.4
Archer Daniels Midland Des Moines,MidAmerican Energy Co,Archer Daniels Midland Co,"Midcontinent Independent Transmission System Operator, Inc..",41.624438,-93.584515,SUB,COAL,0.342,7.9
Atlantic,Atlantic Municipal Utilities,Atlantic Municipal Utilities,"Midcontinent Independent Transmission System Operator, Inc..",41.409,-95,NG,GAS,0.001,15.3
Bancroft,Bancroft Municipal Utilities,Bancroft Municipal Utilities,"Midcontinent Independent Transmission System Operator, Inc..",43.292628,-94.217075,DFO,OIL, -   ,4.5
Barton Windpower LLC,Interstate Power and Light Co,Iberdrola Renewables Inc,"Midcontinent Independent Transmission System Operator, Inc..",43.393,-93.091,WND,WIND,0.267,160
Bellevue,Central Iowa Power Cooperative,City of Bellevue - (IA),"Midcontinent Independent Transmission System Operator, Inc..",42.25,-90.4167,DFO,OIL, -   ,8.6
Bloomfield,City of Bloomfield - (IA),City of Bloomfield - (IA),"Associated Electric Cooperative, Inc.",40.7031,-92.4253,NG,GAS,0.001,8.5
Brooklyn,Central Iowa Power Cooperative,City of Brooklyn - (IA),"Midcontinent Independent Transmission System Operator, Inc..",41.7278,-92.4479,DFO,OIL, -   ,4.6
Brooklyn City North Plant,Central Iowa Power Cooperative,City of Brooklyn - (IA),"Midcontinent Independent Transmission System Operator, Inc..",41.7394,-92.4394,DFO,OIL, -   ,2
Buffalo Center Wind LLC,Dairyland Power Coop,Buffalo Center Wind LLC,"Midcontinent Independent Transmission System Operator, Inc..",43.385833,-92.759444,WND,WIND,0.502,1.5
Bulldog,"Farmers Electric Coop, Inc - (IA)","Bulldog Wind Energy, LLC","Midcontinent Independent Transmission System Operator, Inc..",41.2258,-94.4406,WND,WIND,0.444,1.5
Burlington (IA),ITC Midwest LLC,Interstate Power and Light Co,"Midcontinent Independent Transmission System Operator, Inc..",40.7412,-91.116667,SUB,COAL,0.441,290.8
Cargill Corn Milling Division,Interstate Power and Light Co,Cargill Inc North America Sweetners,"Midcontinent Independent Transmission System Operator, Inc..",41.1386,-92.6467,SUB,COAL,0.258,40
Carroll Area Wind Farm,MidAmerican Energy Co,NJR Clean Energy Ventures Corporation,"Midcontinent Independent Transmission System Operator, Inc..",41.94143,-94.8861,WND,WIND,,20
Carroll Wind Farm,MidAmerican Energy Co,MidAmerican Energy Co,"Midcontinent Independent Transmission System Operator, Inc..",42.1622,-94.93,WND,WIND,0.394,150
Cascade,Central Iowa Power Cooperative,Cascade Municipal Utilities,"Midcontinent Independent Transmission System Operator, Inc..",42.2275,-91.113739,DFO,OIL, -   ,5.2
Centerville,ITC Midwest LLC,Interstate Power and Light Co,"Midcontinent Independent Transmission System Operator, Inc..",40.7478,-92.873056,DFO,OIL, -   ,60
Century,MidAmerican Energy Co,MidAmerican Energy Co,"Midcontinent Independent Transmission System Operator, Inc..",42.5644,-93.6369,WND,WIND,0.336,200
Charles City Wind Farm,MidAmerican Energy Co,MidAmerican Energy Co,"Midcontinent Independent Transmission System Operator, Inc..",43.0003,-92.62,WND,WIND,0.367,75
Coggon,ITC Midwest LLC,City of Coggon - (IA),"Midcontinent Independent Transmission System Operator, Inc..",42.2925,-91.5581,DFO,OIL,,3.4
Coon Rapids II,Corn Belt Power Coop,City of Coon Rapids,"Midcontinent Independent Transmission System Operator, Inc..",41.871043,-94.680777,DFO,OIL, -   ,5.4
Coralville GT,MidAmerican Energy Co,MidAmerican Energy Co,"Midcontinent Independent Transmission System Operator, Inc..",41.671877,-91.563999,NG,GAS, -   ,72
Corning,City of Corning - (IA),City of Corning - (IA),"Midcontinent Independent Transmission System Operator, Inc..",40.974,-94.7669,DFO,OIL, -   ,10
Crane Creek Wind Energy Center,Southern Minnesota Mun P Agny,Wisconsin Public Service Corp,"Midcontinent Independent Transmission System Operator, Inc..",43.397778,-92.473611,WND,WIND,0.36,99
Crosswind Energy Project,Corn Belt Power Coop,Edison Mission Energy,"Midcontinent Independent Transmission System Operator, Inc..",43.0475,-94.9228,WND,WIND,0.412,21
Crystal Lake 3 LLC,ITC Midwest LLC,Crystal Lake 3 LLC,"Midcontinent Independent Transmission System Operator, Inc..",43.3192,-93.8836,WND,WIND,0.306,66
Cumberland Rose,"Farmers Electric Coop, Inc - (IA)","Cumberland Rose Wind Energy, LLC","Midcontinent Independent Transmission System Operator, Inc..",41.226944,-94.434722,WND,WIND,0.434,1.6
Davenport Water Pollution Control Plant,MidAmerican Energy Co,Davenport City of,"Midcontinent Independent Transmission System Operator, Inc..",41.4928,-90.6275,OBG,BIOMASS,0.613,1.6
Dayton (IA),City of Dayton - (IA),City of Dayton - (IA),"Midcontinent Independent Transmission System Operator, Inc..",42.2525,-94.0581,DFO,OIL,0.001,2.5
Dayton Avenue Substation,City of Ames - (IA),City of Ames - (IA),"Midcontinent Independent Transmission System Operator, Inc..",42.0272,-93.5828,DFO,OIL, -   ,78.7
Des Moines Wastewater Reclamation Fac,MidAmerican Energy Co,Des Moines Metro WRF,"Midcontinent Independent Transmission System Operator, Inc..",41.6008,-93.6089,OBG,BIOMASS,0.307,4.6
Dike City Power Plant,Interstate Power and Light Co,City of Dike,"Midcontinent Independent Transmission System Operator, Inc..",42.4622,-92.6264,DFO,OIL,0.002,2.2
Duane Arnold Energy Center,ITC Midwest LLC,NextEra Energy Duane Arnold LLC,"Midcontinent Independent Transmission System Operator, Inc..",42.1011,-91.7781,NUC,NUCLEAR,0.698,679.5
Dubuque,ITC Midwest LLC,Interstate Power and Light Co,"Midcontinent Independent Transmission System Operator, Inc..",42.5031,-90.658611,NG,GAS,0.015,85.2
Durant,Central Iowa Power Cooperative,City of Durant - (IA),"Midcontinent Independent Transmission System Operator, Inc..",41.59976,-90.91195,DFO,OIL,0.001,7.4
Earl F Wisdom,Corn Belt Power Coop,Corn Belt Power Coop,Western Area Power Administration - Upper Great Plains East,43.1606,-95.2569,NG,GAS,0.014,119.1
Earlville,City of Earlville - (IA),City of Earlville - (IA),"Midcontinent Independent Transmission System Operator, Inc..",42.4942,-91.2725,DFO,OIL,0.001,1.8
Eclipse Wind Farm,MidAmerican Energy Co,MidAmerican Energy Co,"Midcontinent Independent Transmission System Operator, Inc..",41.554651,-94.685004,WND,WIND,0.432,200
Electrifarm,MidAmerican Energy Co,MidAmerican Energy Co,"Midcontinent Independent Transmission System Operator, Inc..",42.4407,-92.4205,NG,GAS,0.01,264.1
Elk Wind Farm,ITC Midwest LLC,Elk Wind Energy LLC,"Midcontinent Independent Transmission System Operator, Inc..",42.583889,-91.370833,WND,WIND,0.408,40.8
Emery Station,ITC Midwest LLC,Interstate Power and Light Co,"Midcontinent Independent Transmission System Operator, Inc..",43.094,-93.292222,NG,GAS,0.192,602.8
Estherville,Iowa Lakes Electric Coop,City of Estherville - (IA),Western Area Power Administration - Upper Great Plains East,43.4028,-94.8433,NG,GAS,0.001,17.6
Exira Station,WAPA-- Western Area Power Administration,Western Minnesota Mun Pwr Agny,"Midcontinent Independent Transmission System Operator, Inc..",41.514365,-94.919729,NG,GAS,0.003,181.5
Fair Station,Central Iowa Power Cooperative,Central Iowa Power Cooperative,"Midcontinent Independent Transmission System Operator, Inc..",41.4569,-90.8233,BIT,COAL,,62.5
Flying Cloud Power Partners LLC,Interstate Power and Light Co,Iberdrola Renewables Inc,"Midcontinent Independent Transmission System Operator, Inc..",43.3897,-95.2997,WND,WIND,0.406,43.5
Fontanelle,City of Fontanelle - (IA),"Forward Fontanelle Power, LLC","Midcontinent Independent Transmission System Operator, Inc..",41.338889,-94.57,WND,WIND,0.437,1.6
Forest City Light Plant,Dairyland Power Coop,City of Forest City- (IA),"Midcontinent Independent Transmission System Operator, Inc..",43.263235,-93.635383,DFO,OIL,0.001,22
FPL Energy Crystal Lake Wind II LLC,ITC Transmission,FPL Energy Crystal Lake Wind II LLC,"Midcontinent Independent Transmission System Operator, Inc..",43.273731,-93.800002,WND,WIND,0.325,200
FPL Energy Crystal Lake Wind LLC,ITC Transmission,FPL Energy Crystal Lake Wind LLC,"Midcontinent Independent Transmission System Operator, Inc..",43.2125,-93.8311,WND,WIND,0.42,150
FPL Energy Story Wind LLC,ITC Transmission,FPL Energy Story Wind LLC,"Midcontinent Independent Transmission System Operator, Inc..",42.1044,-93.2722,WND,WIND,0.384,150
Franklin County Wind Farm,ITC Midwest LLC,Franklin County Wind LLC,"Midcontinent Independent Transmission System Operator, Inc..",42.606737,-93.336453,WND,WIND,0.256,99
Garden Wind LLC,ITC Midwest LLC,Garden Wind LLC,"Midcontinent Independent Transmission System Operator, Inc..",42.224436,-93.373625,WND,WIND,0.321,150
Gas Turbine (IA),Cedar Falls Utilities,Cedar Falls Utilities,"Midcontinent Independent Transmission System Operator, Inc..",42.512,-92.476,NG,GAS,0.003,43.4
George Neal North,MidAmerican Energy Co,MidAmerican Energy Co,"Midcontinent Independent Transmission System Operator, Inc..",42.299794,-96.361707,SUB,COAL,0.353,1080.3
George Neal South,MidAmerican Energy Co,MidAmerican Energy Co,"Midcontinent Independent Transmission System Operator, Inc..",42.3006,-96.3617,SUB,COAL,0.709,695.9
Gilliam South,Central Iowa Power Cooperative,City of Stuart - (IA),"Midcontinent Independent Transmission System Operator, Inc..",41.496111,-94.327222,DFO,OIL, -   ,4.3
Gowrie,Gowrie Municipal Utilities,Gowrie Municipal Utilities,"Midcontinent Independent Transmission System Operator, Inc..",42.274514,-94.270195,DFO,OIL, -   ,4.9
Graettinger,Corn Belt Power Coop,City of Graettinger - (IA),"Midcontinent Independent Transmission System Operator, Inc..",43.2397,-94.7498,DFO,OIL,0.001,3.6
Grand Junction,Alliant Energy,City of Grand Junction - (IA),"Midcontinent Independent Transmission System Operator, Inc..",42.0296,-94.3699,DFO,OIL,0.001,2.2
Greater Des Moines Energy Center,MidAmerican Energy Co,MidAmerican Energy Co,"Midcontinent Independent Transmission System Operator, Inc..",41.5563,-93.5283,NG,GAS,0.016,576.3
Greenfield,City of Greenfield - (IA),City of Greenfield - (IA),"Midcontinent Independent Transmission System Operator, Inc..",41.303889,-94.460556,DFO,OIL, -   ,6.1
Greenfield Wind,Greenfield Municipal Utilities,"Greenfield Wind Power, LLC","Midcontinent Independent Transmission System Operator, Inc..",41.29,-94.485,WND,WIND,0.414,1.6
Grinnell,ITC Midwest LLC,Interstate Power and Light Co,"Midcontinent Independent Transmission System Operator, Inc..",41.7529,-92.748889,NG,GAS,0.014,47.6
Grundy Center City Light Plant,Grundy Center Mun Light & Power,Grundy Center Mun Light & Power,"Midcontinent Independent Transmission System Operator, Inc..",42.363094,-92.772322,DFO,OIL,0.001,8.7
Hancock County Wind Energy Center,Interstate Power and Light Co,"FPL Energy Hancock County Wind, LLC","Midcontinent Independent Transmission System Operator, Inc..",43.0533,-93.6305,WND,WIND,0.313,98
Hardin Hilltop Wind LLC,Interstate Power and Light Co,Edison Mission Energy,"Midcontinent Independent Transmission System Operator, Inc..",42.0822,-94.365,WND,WIND,0.365,14.7
Harlan,Harlan Municipal Utilities - (IA),Harlan Municipal Utilities - (IA),"Midcontinent Independent Transmission System Operator, Inc..",41.644542,-95.315283,DFO,OIL, -   ,3.4
Hawkeye Power Partners LLC,Interstate Power and Light Co,Hawkeye Power Partners LLC,"Midcontinent Independent Transmission System Operator, Inc..",43.047222,-93.4775,WND,WIND,0.254,42
Hawkeye Wind Farm,ITC Midwest LLC,Bethel Wind Energy LLC,"Midcontinent Independent Transmission System Operator, Inc..",42.948889,-92.062222,WND,WIND,0.442,36
Highland Wind Project (IA),MidAmerican Energy Co,MidAmerican Energy Co,"Midcontinent Independent Transmission System Operator, Inc..",43.080278,-95.656111,WND,WIND,,504.1
Hopkinton,City of Hopkinton - (IA),City of Hopkinton - (IA),"Midcontinent Independent Transmission System Operator, Inc..",42.343542,-91.2471,DFO,OIL,0.001,7
Indianola,MidAmerican Energy Co,Indianola Municipal Utilities,"Midcontinent Independent Transmission System Operator, Inc..",41.359491,-93.563268,DFO,OIL, -   ,54.8
Intrepid,MidAmerican Energy Co,MidAmerican Energy Co,"Midcontinent Independent Transmission System Operator, Inc..",42.5539,-95.3283,WND,WIND,0.349,175.5
Iowa Distributed Wind Generation Project,City of Algona - (IA),City of Algona - (IA),"Midcontinent Independent Transmission System Operator, Inc..",43.034722,-94.140556,WND,WIND,0.271,2.3
Iowa Hydro LLC,Alliant Energy,Renewable World Energies LLC,"Midcontinent Independent Transmission System Operator, Inc..",42.069987,-90.697657,WAT,HYDRO,0.6,1.2
Iowa Lakes Community College Wind Farm,City of Estherville - (IA),Iowa Lakes Community College,"Midcontinent Independent Transmission System Operator, Inc..",43.385347,-94.815655,WND,WIND,0.403,1
Iowa Lakes Superior Wind Farm,Corn Belt Power Coop,Iowa Lakes Electric Coop,"Midcontinent Independent Transmission System Operator, Inc..",43.445,-94.980278,WND,WIND,0.469,10.5
Iowa Methodist Medical Center,MidAmerican Energy Co,Iowa Methodist Medical Center,"Midcontinent Independent Transmission System Operator, Inc..",41.5894,-93.635,DFO,OIL,,3.5
Iowa State University,City of Ames - (IA),Iowa State University,"Midcontinent Independent Transmission System Operator, Inc..",42.0275,-93.6394,BIT,COAL,0.268,49
John Deere Dubuque Works,Alliant Energy,John Deere Dubuque Works,"Midcontinent Independent Transmission System Operator, Inc..",42.5734,-90.6926,DFO,OIL, -   ,23
Junction Hilltop Wind Farm,Interstate Power and Light Co,Junction Hilltop Management LLC,"Midcontinent Independent Transmission System Operator, Inc..",42.098889,-94.269167,WND,WIND,0.437,8
Keokuk,Union Electric Co - (MO),Union Electric Co - (MO),"Midcontinent Independent Transmission System Operator, Inc..",40.3965,-91.3719,WAT,HYDRO,0.796,124.8
Kirkwood Wind Turbine,Interstate Power and Light Co,Kirkwood Community College,"Midcontinent Independent Transmission System Operator, Inc..",41.916558,-91.650897,WND,WIND,,2.5
Knoxville Industrial,MidAmerican Energy Co,MidAmerican Energy Co,"Midcontinent Independent Transmission System Operator, Inc..",41.3158,-93.1011,DFO,OIL,0.001,16
L J Trust,Interstate Power and Light Co,Wind Energy America Inc,"Midcontinent Independent Transmission System Operator, Inc..",43.4058,-95.6547,WND,WIND,,2
La Porte,Central Iowa Power Cooperative,La Porte City Utilities,"Midcontinent Independent Transmission System Operator, Inc..",42.3194,-92.1967,DFO,OIL,0.002,7.3
Lake Mills,City of Lake Mills,City of Lake Mills,"Midcontinent Independent Transmission System Operator, Inc..",43.4172,-93.5322,DFO,OIL, -   ,18.5
